Conversation,type
我的储蓄账户是否可以与支付软件直接绑定？,1
请问如何设置储蓄账户的自动转账功能？,1
请问贵行有提供关于投资组合管理的咨询服务吗？,4
请问贵行的信用卡可以申请临时提升额度吗？比如旅行时。,3
我想知道，申请房贷需要提供哪些资料？,2
请问贵行储蓄账户有什么保险保障吗？,1
你好，我想了解一下开设储蓄账户的具体要求和流程。,1
我想了解贵行信用卡的超额使用费是怎么计算的。,3
我需要了解贵行的国际汇款货币兑换政策。,5
我是外籍人士，想在中国申请贷款，有什么特别要求吗？,2
我账户的利息是怎么计算的？是按月计算还是按季度？,1
请问你们提供关于税务规划的理财咨询吗？,4
请问我可以在银行柜台直接办理国际汇款吗？,5
请问我可以指定另一个银行的账户作为我的储蓄账户的自动转账账户吗？,1
我想了解一下贵行的跨国汇款费用是怎么计算的。,5
请问我可以将两笔个人贷款合并成一笔吗？,2
我对私人银行服务感兴趣，这对我的投资规划有什么帮助？,4
我想了解一下，贵行是否有提供关于艺术品投资的服务？,4
请问贵行的理财产品有哪些安全保障措施？,4
你们有没有提供国际汇款的即时服务？,5
我想了解贵行的汇款速度和到账时间。,5
我刚开始工作，想申请个人信用贷款，需要什么条件？,2
我想开设一个联名储蓄账户，需要什么条件？,1
我是你们银行的老客户，想开一个新的储蓄账户，有优惠吗？,1
我对贵行提供的伊斯兰金融服务感兴趣，可以提供一些信息吗？,4
我想定期自动从我的工资账户转账到储蓄账户，这个怎么设置？,1
我对短期理财产品感兴趣，有什么好的建议吗？,4
我想了解贵行对于汇款货币种类的限制。,5
我想改变我的储蓄账户的账户类型，该怎么操作？,1
我想将我的两笔贷款合并，这个操作可以做吗？,2
我想了解贵行信用卡的现金提取手续费和限额。,3
我想了解一下在贵行开户后，是否可以获得贵宾理财服务？,1
我想了解一下储蓄账户的异地服务费。,1
我想关闭我之前开设的一个储蓄账户。,1
请问贵行提供储蓄账户的定期自动转账服务吗？,1
我想查询关于储蓄账户的年度税务报告。,1
请问我可以通过手机银行管理我的投资吗？,4
请问如何申请储蓄账户的存折？,1
请问贷款批准后，资金多久能到账？,2
请问储蓄账户的最低余额是多少？,1
我公司想开一个大额储蓄账户，有没有特别的要求或优惠？,1
我信用卡的PIN码忘记了，我该如何重新设置？,3
我怎样才能查看我账户的交易历史？,1
我有兴趣了解贵行的装修贷款服务。,2
我想了解一下汇款到中东国家的特殊要求。,5
请问贵行有提供房产抵押贷款吗？,2
请问办理贷款需要提供哪些财务证明？,2
能不能在网上直接开户？还是必须去银行亲自办理？,1
我想查询一下我上个月汇到英国的款项状态。,5
我对贵行的无抵押个人贷款很感兴趣，请问怎么申请？,2
我想了解一下贵行储蓄账户的外汇服务。,1
我想了解一下你们的无抵押贷款产品。,2
我想查询我的账户余额，可以电话查询吗？,1
请问办理住房公积金贷款需要哪些条件？,2
请问贵行有提供针对企业的投资咨询服务吗？,4
我想了解一下，使用外币汇款有什么特别的要求吗？,5
我想知道，你们银行的汇款是否可以实时跟踪？,5
请问贵行的贷款产品支持跨行转账还款吗？,2
我的储蓄账户密码忘记了，怎么办理重置？,1
我想知道，如果进行大额投资，有没有什么特别的优惠或服务？,4
请问贵行有没有针对大学生的理财产品推荐？,4
我想在你们银行开一个定期存款账户，请问流程是怎样的？,1
我对贵行的房地产信托投资基金(REITs)感兴趣，可以提供详细信息吗？,4
我想更详细地了解贵行的黄金投资账户。,4
请问贵行国际汇款需要的时间是否会因为汇款金额的大小而不同？,5
请问我能否在网上查询我的国际汇款状态？,5
请问我能否在贵行购买外币旅行支票？,5
请问贵行有没有专门针对女性客户的投资理财服务？,4
请问开设储蓄账户需要的起始存款是多少？,1
请问个人信用贷款的最长期限是多少年？,2
你们提供个性化的理财规划服务吗？我想根据我的财务状况来制定计划。,4
我想了解一下信用卡的透支利息是怎么计算的？,3
我想知道贵行的储蓄账户是否支持跨行转账？,1
我想了解一下你们银行的住房贷款最长可以贷多少年？,2
请问我现在能开一个联名账户吗？需要哪些文件？,1
贷款申请大概需要多久才能审批下来？,2
